ID,PosNumeric,Position,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
49,1,Forward,1156,13.47,925,10.78,127,187,163,46.4,5.14,59.8,187,11:00,520,49,1,18,73,75.75,189.2,61.2,9.58,26.2,95,18.75,1283,4730,19,1298,4809,0.71,0.83,16.8,48,27.2,117,125,8,6.34,28,5297.6,205,1.08,274,1.45,179
50,1,Forward,1191,15.93,852,11.4,128,200,178,54.9,4.13,55.2,200,9:22,440,12,20,18,70.75,77,164.8,43.8,7.89,29.6,104.5,25,1289,5223,26.5,1326,5405,0.59,1.17,22.6,5,27,118,108, , , , , , , , , 
51,1,Forward,1247,15.32,893,10.97,125,192,72,60.5,4.1,50.3,192,11:25,440,28,2,18,70.25,73,179.5,62.2,9.67,28,107.5,24.25,1384,5381,24.75,1397,5460,0.51,1.4,24.4,31,46.5,131,121, , ,31,5564.5,247,1.38,186,1.04,200
52,1,Forward,1429,15.06,1020,10.75,122,185,167,52.6,5.42,57,188,11:45,520,28,4,17,75,78.5,209.2,52.2,8.7,27.2,106,24,1605,5956,24.5,1621,6029,0.68,0.96,20.7,0,35.5,144,134,11,7.89,34,7112.8,302,1.44,285,1.36,212
53,1,Forward,1153,14.83,873,11.23,129,193,174,55.4,4,51.3,193,9:00,440,42,1,18,72.25,73.75,171.4,39.8,7.5,33.1,107,22,1258,4867,22.5,1275,4946,0.32,1.85,16.7,66,41.2,86,88,2,1.75,28,4799.2,214,1.25,240,1.4,185
54,1,Forward,1179,12.83,959,10.44,126,195,182,44.4,4.61,50.1,195,13:00,600,42,5,18,73.25,74.25,202.6,62.6,9.71,30.7,105,25.5,1604,6051,27.5,1663,6366,0.59,1.07,19.2,0,41.1,113,107,6,4.44,16,3241.6,204,1.01,243,1.2,190
55,1,Forward,1189,13.34,952,10.68,126,191,179,39.2,5.76,64.53,198,12:00,560,30,7,18,70.75,75.25,196.5,62,9.65,25,110,21,1410,5226,23,1477,5535,0.44,1.53,21.7,70,51.8,137,128,5,3.82,22,4323,210,1.07,255,1.3,212
56,1,Forward,1212,14.51,928,11.11,125,187,176,45.2,4.8,57.3,187,12:00,560,35,2,18,73.75,74.75,184.1,52,8.68,32.9,108,27.8,1514,6046,28.8,1547,6168,0.65,1.05,22.2,35,39.8,120,128,6,4.89,22,4050.2,205,1.11,262,1.42,218
57,1,Forward,1155,13.21400631,929,10.62840854,124,197,172,44.78,4.44,50.69,197,9:00,440,42,7,18,74.75,76.5,192.7,49.6,8.45,33.3,105.5,19,1314,4845,19,1314,4845,0.69,0.94,20.5,18,39,116,118,9,7.01,26,5010.2,219.6,1.14,222.3,1.15,199
58,1,Forward,1065,12.73277109,812,9.707990727,114,199,181,45.5,4.42,52.74,199,11:00,520,40,3,18,71.75,72.5,184.4,46,8.1,35.4,99,23,1386,5286,27.5,1514,5984,0.6,1.09,21.2,28,42.5,126,136,9,7.32,34,6269.6,286.2,1.55,294.7,1.6,201
59,1,Forward,1133,14.11,870,10.84,124,192,176,40.4,4.78,59.3,198,11:00,520,30,7,17,72.25,74.25,177,52.6,8.74,27.2,106,22,1300,4985,25.5,1402,5525,0.75,0.85,19.9,26,38.5,109,104,7,5.93,20,3540,142,0.8,197,1.11,197
60,1,Forward,1109,13.84,856,10.68,125,201,185,50.2,4.12,51.3,201,9:25,440,56,4,18,70.25,71,176.7,55.4,9.01,31.7,109.5,25.3,1389,5486,26.3,1418,5637,0.5,1.36,22.3,20,44.6,127,133,4,3.4,26,4594.2,268,1.52,235,1.33,204
61,1,Forward,895,12.87,715,10.28,121,175,163,40.5,4.73,67.9,182,11:00,520,5,5,18,71.5,70.25,153.3,32.8,6.82,30.4,98,22,1125,4496,24,1176,4805,0.88,0.73,20.2,0,29,89,84,0,0,17,2606.1,202,1.32,230,1.5,161
62,1,Forward,1034,12.81,817,10.12,121,200,187,49.3,3.64,45,200,8:00,400,28,1,17,69.75,73,178,62.4,9.69,28.4,110,28.25,1480,5968,30.25,1533,6272,0.78,0.88,22.7,2,47.2,144,135,8,6.74,21,3738,198,1.11,252,1.42,209
63,2,Defense,1089,13.44,877,10.83,128,180,151,45.2,4.92,60.6,180,11:00,520,4,4,18,73.25,74.25,178.6,45.2,8.02,29,105,24,1370,5326,25.5,1397,5569,0.67,0.98,20.9,23,29,134,114,8,6.72,25,4465,242,1.35,229,1.28,194
64,2,Defense,1223,14.06,921,10.59,125,200,168,55.3,4.41,50.6,200,11:00,520,42,7,18,74,74,191.8,90.8,12.45,30.2,91,19,1308,4827,20,1344,4979,0.66,0.92,17.7,18,28.2,117,111,4,3.13,16,3068.8,200,1.04,233,1.21,186
65,2,Defense,1042,13.85,807,10.72,126,193,156,47.8,4.45,59.1,193,10:00,480,42,1,17,72.75,75.5,165.9,39,7.42,25,106.5,24,1273,5063,24.5,1285,5136,0.61,1.13,23,18,35.8,109,105,0,0,25,4147.5,212,1.28,236,1.42,204
66,2,Defense,1116,13.13,885,10.41,121,194,171,42.3,3.83,44.9,194,8:10,400,60,2,18,71.25,74.75,187.4,56.6,9.13,31.9,104.5,29.5,1594,6351,30,1607,6430,0.51,1.31,22,28,52.5,123,118,13,10.41,40,7496,268,1.43,245,1.31,248
